"spp","x","y","dbh","ht"
"Hh",448.66,308.08,18.65,15.05
"Aa",444.79,302.36,23.18,17.94
"Dd",447.73,302.62,51.12,20.12
"Nn",441.04,319.71,18.1,13.97
"Hh",447.29,312.87,29.52,19.01
"Bb",445.71,314.29,29,17.62
"Gg",454.12,313.78,15.01,13.13
"Jj",450.72,316.62,13.94,14.29
"Jj",450.99,317.26,10.29,10.42
"Jj",450.53,317.89,13.51,13.57
"Aa",450.37,319.58,12.98,12.76
"Dd",455.69,315.48,28.98,18.49
"Mm",459.2,314.51,24.46,17.54
"Gg",452.81,302.7,17.25,15.57
"Hh",451.56,309.32,52.84,22.02
"Ll",453.56,309.48,16.89,16.35
"Ii",454.81,307.25,18.22,14.42
"Ff",455.9,305.65,17.03,14.74
"Hh",455.46,308.94,33.51,19.18
"Aa",456.13,308.98,14.01,11.78
"Hh",458.41,309.92,20.39,14.9
"Cc",445.21,328.93,17.34,15.73
"Dd",447.37,327.83,30.25,18.95
"Mm",448.53,324.34,21.8,17.16
"Ff",448.06,321.53,34.61,19.76
"Aa",441.86,330.97,64.81,22.08
"Ff",448.63,335.96,19.15,15.72
"Hh",448.6,333.85,29.05,19.18
"Cc",451.92,336.45,10.27,10.76
"Kk",455.02,337.43,22.66,17.16
"Oo",455.65,333.78,20.55,17.7
"Ll",458.96,330.89,49.6,22.39
"Cc",454.66,320.16,23.39,16.35
"Cc",454.55,328.45,15.56,14.78
"Nn",456.75,329.98,43.78,20.92
"Gg",459.01,326.82,30.65,19.3
"Kk",458.27,324.91,17.17,14.47
"Cc",457.87,321.91,15.95,15.58
"Oo",442.43,341.85,16.72,14.12
"Ff",448.13,344.96,13.18,13.11
"Ff",444.6,355.4,31.82,18.5
"Ii",449.19,354.28,31.84,20.51
"Cc",450.11,351.82,13.84,13.08
"Jj",457.58,354.16,21.16,18.13
"Gg",458.53,350.16,12.53,11.48
"Bb",451.2,342.79,15.27,12.67
"Jj",453.82,343.27,18.57,14.89
"Ll",450.09,349,24.67,20.05
"Jj",457.31,344.51,34.62,18.38
"Jj",443.28,369.85,27.57,18.29
"Hh",447.95,365.97,14.68,14.24
"Gg",440.75,371.41,23.02,15.82
"Kk",443.63,372.17,32.99,20.15
"Aa",444.57,370.8,18.5,16.33
"Ff",442.92,376.81,22.42,16.73
"Hh",446.24,378.71,24.98,16.32
"Ss",446.99,372.01,29.65,18.01
"Gg",447.6,372.72,16.66,15.93
"Bb",454.11,379.08,36.21,19.75
"Ii",455.03,376.48,21.45,15.81
"Dd",459.18,379.37,33.22,21.03
"Ee",459.51,370.35,17.1,15.45
"Nn",454.75,361.78,11.44,12.05
"Kk",453.99,366.01,17.88,14.38
"Aa",454.73,365.61,34.35,20.97
"Ff",457.59,366.14,13,12.61
"Cc",440.81,384.19,19.72,14.6
"Aa",444.21,385.01,26.91,17.44
"Cc",441.61,387.86,11.07,10.44
"Jj",446.65,387,14.4,13.09
"Gg",446.71,387.45,54.19,22.98
"Aa",447.39,385.86,15.13,13.58
"Pp",443.59,391.99,20.75,17.07
"Nn",449.21,392.91,15.24,14.46
"Aa",451.25,392.79,10.54,11.45
"Jj",451.64,391.79,14.46,14.61
"Gg",459.05,397.2,12.48,12.47
"Nn",454.16,384.34,14.47,13.19
"Ee",455.67,386.19,12.6,12.59
"Aa",445.92,404.22,21.47,17.59
"Dd",445.25,402.81,15.86,13.77
"Pp",443.97,412.06,20.22,15.61
"Ii",447.19,417.63,14.53,13.74
"Cc",448.59,418.15,29.75,18.6
"Gg",448.09,419.11,13.12,12.56
"Ee",447.7,419.26,10.48,10.5
"Cc",453.45,414.33,70.93,22.82
"Ii",454.74,412.46,10.17,10.38
"Bb",452.26,416.24,17.56,15.6
"Ee",458.51,416.13,10.12,11.1
"Ff",457.54,407.58,13.37,12.55
"Cc",458.34,402.54,11.57,12.84
"Bb",457.79,402.66,17.62,14.71
"Mm",446.76,427.29,16.34,15.58
"Gg",448.98,429.59,12.5,12.98
"Ii",446.26,420.7,15.97,13.28
"Ss",441.78,440.11,18.18,15.81
"Aa",443.64,435.14,15.49,14.05
"Jj",446.74,437,11.51,11.43
"Hh",452.08,431.73,20.16,15.6
"Ee",452.78,434,30.07,18.59
"Ff",451.94,439.48,17.32,15.14
"Cc",453.7,439.78,12.72,13.31
"Ff",454.5,435.85,11.92,11.86
"Aa",452.48,420.75,15.58,12.97
"Gg",458.18,428.57,35.45,19.86
"Aa",459.63,429.24,11.04,11.08
"Bb",455.86,425.49,12.38,11.99
"Mm",444.76,442.5,35.42,18.34
"Aa",445.68,441.03,12.06,12.76
"Nn",439.92,445.88,13.17,12.75
"Cc",449.58,448.62,11.89,11.71
"Ff",446.99,444.24,12.01,11.56
"Dd",441.52,456.17,18.15,17.24
"Aa",446.07,457.18,37.62,20.55
"Ii",448.63,458.79,14.43,14.07
"Ii",449.44,458.08,14.16,12.7
"Ee",447.71,456.24,61,20.61
"Ii",450.26,456.62,18,14.52
"Ee",451.65,451.26,12.67,11.37
"Ii",454.68,450.83,11.34,11.77
"Cc",450.16,459.37,10.27,11.41
"Ff",456.89,456.58,37.25,18.89
"Hh",459.08,458.67,23.79,17.98
"Bb",457.31,454.5,12.81,11.9
"Bb",453.52,442.5,12.64,13.44
"Jj",453.33,445.4,54.42,23.14
"Ii",454.3,441.63,17.86,15.86
"Hh",459.89,443.42,10.77,12.18
"Ff",444.41,467.57,27.22,19.72
"Gg",450.51,469.05,20.87,16.16
"Mm",449.77,465.28,21.68,18.75
"Gg",444.56,476.96,16.88,13.85
"Ll",455.74,478.24,10.56,11.7
"Ii",458.09,474.48,17.3,14.27
"Bb",453.55,469.47,67.49,25.23
"Ii",456.43,468.84,23.4,18.95
"Oo",457.85,468.54,12.73,13.42
"Aa",454.58,460.24,14.76,11.71
"Jj",440.34,481.63,11.04,11.3
"Dd",440.59,489.69,46.64,21.74
"Cc",445.3,484.37,31.52,19.33
"Dd",441.74,491.86,25.15,17.02
"Bb",442.36,498.45,74.39,23.71
"Ll",445.24,497.21,26.45,16.71
"Aa",448.6,499.61,14.64,13.95
"Oo",448.4,497.34,23.68,17.41
"Jj",448.68,497.82,13.96,14.19
"Gg",446.48,491.73,20.34,16.64
"Aa",446.41,494.4,13.7,13.32
"Mm",447.11,493.94,25.33,17.32
"Kk",449.3,492.2,21.54,17.7
"Gg",449.06,492.55,18.23,16.38
"Aa",450.99,490.37,15.1,14.99
"Cc",453.94,496.23,14.34,14.4
"Kk",451.83,498.79,33.08,20.47
"Aa",452.83,497.77,17.62,16.04
"Gg",456.85,496.82,12.68,12.51
"Nn",456.24,498.58,13.64,13.06
"Hh",457.04,499.99,23.18,15.33
"Aa",458.88,495.74,23.5,17.14
"Hh",455.23,490.35,16.12,14.65
"Mm",451.07,481.34,12.8,12.15
"Ff",455.64,483.43,11.72,12.59
"Hh",462.2,4.07,46.43,20.36
"Cc",464.65,3.68,46.56,20.6
"Ii",464.23,1.37,39.54,20.84
"Mm",460.79,14.05,18.33,14.77
"Mm",476.7,12.42,16.47,15.41
"Ii",472.82,4.95,14.22,13.68
"Dd",474.11,9.7,12.9,12.57
"Cc",480.1,4.41,26.61,17.87
"Ii",463.36,29.09,38.23,20.98
"Gg",466.77,24.61,35.81,20.79
"Hh",466.71,38.81,26.52,18.64
"Gg",476.41,34.16,19.3,16.7
"Mm",470.27,25.02,12.92,12.15
"Gg",473.18,27.52,13.93,13.07
"Aa",475.5,27.72,19.62,15.96
"Ff",460.65,45.17,11.11,10.96
"Cc",459.73,49.64,11.08,11.35
"Dd",465.51,44.93,12.9,12.17
"Hh",465.48,41.37,79.82,23.88
"Ii",460.66,51.73,18.18,15.7
"Ii",461.1,51.86,16.31,14.97
"Kk",464.68,52.14,49.1,21.09
"Ee",461.68,58.36,19.69,16.53
"Bb",465.66,58.78,33.51,18.25
"Cc",471.14,55.9,28.27,20.03
"Ff",472.31,43.13,37.01,19.92
"Aa",477.25,48.36,14.39,13.67
"Bb",459.6,64.46,24.93,15.8
"Cc",465.09,69.08,16.43,14.39
"Ee",466.54,70.04,10.35,10.66
"Cc",464.46,76.21,11.05,11.09
"Hh",468.31,77.52,12.55,13.19
"Jj",467.53,76.27,15.16,13.42
"Jj",467.35,76.81,10.33,11.76
"Ee",471.47,71,21.9,16.25
"Ii",470.8,78.69,21.98,18.08
"Nn",475.13,77.91,20.4,19.81
"Dd",475.5,78.45,20.57,15.89
"Cc",475.14,78.4,25.67,18.12
"Bb",478.06,79.72,17.87,16.77
"Gg",479.5,79.22,13.81,13.81
"Hh",478.03,77.64,14.71,13.04
"Dd",476.44,72.03,20.26,16.89
"Bb",478.61,72.67,25.29,18
"Mm",474.27,62.65,51.67,22.86
"Ss",472.83,66.34,11.11,12.85
"Mm",471.01,69.03,11.54,11.07
"Aa",473.43,68.54,19.42,16.51
"Cc",477.32,66.53,17.56,15.05
"Kk",478.55,62.05,17.71,15.53
"Aa",461.85,89.05,33.01,20.21
"Bb",466.23,89.21,10.72,10.34
"Dd",467.11,80.57,29.48,18.12
"Jj",464.18,91.4,17.69,14.59
"Ee",467.06,100.1,14.61,13.9
"Dd",466.02,91.96,82.99,23.21
"Aa",467.11,94.21,19.53,16.36
"Ee",470.49,89.96,10.34,10.65
"Ff",472.46,95.52,18.18,15.8
"Aa",474.83,95.14,14.95,14
"Ff",476.25,99.14,18.99,14.87
"Bb",481.15,97.45,11.84,11.4
"Kk",473.73,81.7,19.71,16.18
"Cc",473.24,86.85,12.83,12.26
"Aa",479.58,84.47,10.92,10.93
"Gg",463.81,109.43,16.54,13.51
"Cc",466.58,104.69,21.64,15.54
"Ee",469.18,102.3,26.02,18.49
"Ee",460.52,112.18,12.34,13.48
"Mm",462.43,112.66,34.17,19.69
"Aa",463.86,111.6,12.71,11.7
"Ee",465.13,111.68,22.74,15.64
"Gg",463.28,119.2,23.69,16.31
"Aa",468.88,114.71,25.03,18.12
"Aa",470.67,116.23,13.4,13.04
"Bb",472.48,116.89,13.81,14.11
"Oo",469.99,119.3,19.66,16.51
"Ii",475.33,118.26,13.29,12.49
"Ee",474.98,104.09,16.02,15.29
"Cc",473.49,101.74,26.95,18.5
"Ll",471.58,108.27,22.67,16.17
"Gg",470.59,110.13,22.62,16.51
"Mm",473,108.79,18.44,15.49
"Dd",477.37,109.11,16.88,14.18
"Mm",480.17,106.51,24.99,16.87
"Ee",479.54,101.79,15.16,13.98
"Mm",464.63,120.65,11.43,12.34
"Aa",462.53,126.99,29.32,19.92
"Ee",463.57,126.43,14.78,14.53
"Dd",464.22,124.87,19.15,15.79
"Bb",465.84,127.44,19.83,16.48
"Hh",463.28,132.73,18.49,14.58
"Ee",461.94,131.74,15.43,14.92
"Mm",461.91,136.11,19.56,16.72
"Bb",466.46,140.19,15.12,13.4
"Ee",468.19,137.15,25.49,15.87
"Aa",467,130.53,16.22,15.5
"Aa",467.43,130.89,15.43,15.11
"Cc",470.14,133.33,12.93,12.37
"Ii",470.9,133.21,21.63,16.37
"Jj",471.78,131.73,11.86,11.92
"Mm",472.81,134.03,23.2,16.81
"Ee",473.3,133.52,16.12,14.33
"Ll",474.32,130.81,12.3,11.64
"Aa",472.96,139.75,17.05,16.06
"Bb",474.56,137.75,13.15,12.43
"Kk",478.35,136.96,14.28,12.73
"Nn",478.93,136.17,16.53,14.08
"Dd",479.59,132.58,15.03,14.72
"Kk",470.02,121.47,10.97,12.2
"Bb",472.18,124.24,24.06,18.45
"Jj",471.19,124.42,19.18,15.91
"Bb",474.43,124.23,14.28,13.24
"Dd",469.37,129.07,13.31,12.43
"Ii",479.79,128.98,18.55,14.37
"Aa",475.75,124.33,26.16,16.68
"Ee",477.99,121.44,20.19,14.98
"Qq",461.89,141.28,13.32,12.95
"Kk",468.97,142.58,18.14,15.19
"Mm",469.56,141.36,16.61,14.94
"Dd",462.33,153.02,32.45,19.95
"Hh",462.37,158.72,14.3,13.83
"Cc",462.24,155.77,18.87,14.23
"Dd",465.21,157.78,42.2,19.86
"Bb",467.13,158.92,16.11,15.56
"Aa",466.7,157.31,20.04,17.17
"Ii",469.16,152.09,33.64,20.68
"Aa",474.66,152.35,17.97,14.88
"Ff",475.3,157.11,22.21,15.84
"Jj",475.57,153.41,11.4,11.71
"Cc",470.75,142.72,17.15,16.68
"Hh",464.06,164.78,16.74,16.42
"Ff",462.81,161.89,20.08,16.56
"Aa",461.8,170.56,13.92,13.42
"Ff",464.35,167.61,13.53,12.68
"Cc",466.88,164.94,12.06,11.83
"Hh",462.51,173.12,17.86,14.54
"Ff",462.09,174.45,19.67,15.03
"Gg",465.07,171.44,27.45,18.66
"Jj",459.74,176.32,15.21,14.39
"Cc",465.67,178.17,19.71,16.61
"Ff",469.01,170.06,13.44,12.96
"Hh",472.03,173.95,16.09,15.39
"Ll",472.1,179.57,23.86,17.95
"Aa",475.29,175.8,18.5,15.13
"Gg",480.14,173.07,15.51,13.7
"Bb",470.73,160.53,17.21,14.77
"Ii",471.38,164.5,13.39,12.5
"Bb",471.32,165.02,10.77,10.75
"Ii",474.69,162.38,23.06,17.34
"Ff",471.2,165.63,12.97,13.24
"Ee",470.95,167.02,13.51,13.31
"Bb",471.12,169.23,23.42,18.31
"Ii",474.02,168.28,13.4,13.26
"Ii",477.28,167.33,29.1,17.59
"Hh",475.5,161.57,11.06,11.41
"Cc",476.66,164.18,10.61,11.24
"Kk",476.44,162.18,21.99,16.94
"Oo",460.42,184.59,15.3,14.16
"Cc",461.06,188.46,19.63,16.6
"Hh",463.57,188.79,14.89,14.03
"Ee",464.55,188.19,15.5,12.97
"Aa",465.79,185.04,15.15,12.6
"Gg",466.57,186.53,13.79,13.5
"Ii",465.02,188.35,13.92,13.35
"Ii",468.85,187.58,16.54,14.52
"Cc",466.44,182.26,21.2,18.91
"Gg",468.28,184.93,10.13,10.54
"Nn",461.32,195.87,19.42,14.61
"Kk",465.63,196.21,29.18,19.78
"Ee",465.9,195.93,10.44,12.56
"Nn",466.52,199.07,18.66,14.72
"Ee",467.45,195.61,20.85,16.17
"Ll",468.13,191.97,14.86,14.36
"Bb",470.44,192.64,18.36,16.79
"Dd",471.3,194.31,19.22,17.06
"Dd",472.95,197.8,12.05,11.89
"Nn",476.27,199.24,19.92,17.41
"Aa",475.3,199.91,16.71,14.22
"Ii",476.74,193.29,23.08,17.31
"Ff",476.71,193.44,15.5,14.81
"Bb",478.11,194.95,16.77,15.09
"Jj",479.01,193.64,13.19,12.73
"Bb",472.45,184.77,13.34,12.64
"Jj",473.05,184.08,14.08,13.43
"Dd",471.58,186.75,12.41,12.51
"Nn",471.36,188.8,18.42,16.19
"Gg",476.35,188.56,11.99,11.79
"Bb",479.68,188.8,23.47,15.88
"Ee",479.54,187.13,22.85,17.61
"Ii",476.86,183.24,20.25,16.28
"Jj",475.81,184.39,23.87,16.5
"Dd",477.48,185.32,12.31,12.68
"Ff",480.1,180.55,21.57,17.42
"Cc",478.9,181.49,10.88,10.34
"Ff",459.56,203.35,23.65,16.27
"Ll",461.06,203.25,25.82,17.47
"Gg",461.85,203.03,14.7,14.04
"Aa",462.06,203.94,11.1,10.21
"Aa",462.39,208.36,20.66,16.75
"Qq",462.23,208.85,24.63,17.63
"Dd",466.04,208.6,27.51,18.29
"Cc",466.96,209.59,11.71,12.8
"Bb",468.84,207.22,25.43,18.57
"Kk",468.12,202.64,11.85,11.55
"Cc",462.15,215.72,18.05,15.61
"Bb",464.79,211.7,25.64,17.69
"Jj",463.49,211.92,17.6,16.14
"Kk",461.73,216.84,19.72,16.24
"Dd",468.9,219.83,20.19,16.27
"Jj",467.75,214.78,27.45,19.58
"Hh",469.03,214.05,22.51,17.11
"Bb",472.49,214.68,31.27,18.05
"Ii",473.86,214.48,22.53,18.33
"Ii",472.58,213.15,28.63,18.41
"Ll",473.7,211.41,22.78,16.52
"Kk",471.85,216.04,21.6,16.6
"Bb",472.3,218.09,15.15,13.82
"Cc",476.47,216.8,13.79,13.38
"Bb",471.72,204.69,55.74,22.83
"Ee",471.64,205.48,11.15,10.97
"Ii",470.86,209.01,21.13,16.35
"Ll",478.48,209.81,25.75,18.77
"Ll",478.92,207.24,33.53,19.85
"Cc",478.4,206.58,12.01,11.62
"Cc",477.54,205.49,22.24,15.85
"Ff",465.51,225.56,31.18,18
"Bb",463.52,220.73,17.97,16.35
"Aa",461.81,228.34,16.98,13.7
"Ii",468.31,223.17,11.88,11.82
"Bb",462.1,231.56,13.03,12.03
"Aa",462.13,234.3,17.95,13.1
"Bb",461.37,237.64,16.58,15.54
"Nn",467.7,239.26,52.93,20.95
"Cc",465.89,234.15,21.19,16.09
"Cc",468.32,230.7,22.53,17.75
"Ee",468.61,231.73,17.03,15.13
"Bb",471.17,239.8,17,15.38
"Ii",474.86,238.84,29.18,16.69
"Dd",476.56,236.6,11.88,12.11
"Aa",478.11,238.93,11.6,11.16
"Kk",476,233.49,14.55,12.81
"Dd",480.32,232.37,13.49,13.95
"Pp",478.22,231.63,36.29,19.25
"Mm",473.43,223.49,16.97,15.5
"Aa",473.39,223.35,13.65,13.22
"Ee",470.73,228.27,12.11,12.08
"Jj",475.32,225.84,12.89,13.17
"Gg",476.38,227.57,21.02,17.69
"Aa",476.92,228.26,14.24,14.87
"Cc",479.48,225.13,11.59,13.11
"Ee",478.26,222.17,25.65,18.95
"Bb",464.73,240.36,28.34,17.54
"Ll",467.47,247.5,14.38,12.59
"Ee",467.49,241.93,17.78,14.06
"Nn",464.74,243.87,18.3,15.63
"Aa",469.03,244.2,11.23,10.66
"Ll",461.83,254.25,17.78,15.46
"Ll",463.9,255.68,10.72,10.71
"Dd",464.9,257.09,25.95,17.85
"Aa",465.5,258.13,16.49,13.66
"Ff",470.13,260.19,13.04,13.79
"Cc",468.38,259.24,21.11,17.47
"Ii",468.87,258.42,71.65,22.83
"Cc",470.49,255.41,17.54,14.96
"Ff",467.52,255.23,32.14,19.8
"Jj",465.81,252.02,40.04,21.65
"Ll",468.82,251.32,12.52,13.03
"Mm",470.95,255.81,17.79,16.53
"Cc",471.57,256.89,20.66,15.33
"Nn",474.9,257.28,17.58,15.11
"Nn",476.79,255.55,14.26,13.7
"Ee",478.23,257.69,12.32,14.25
"Jj",478.11,252.79,27.46,19.31
"Mm",474.22,241.8,12.25,12.24
"Jj",470.1,245.41,31.14,18.82
"Cc",478.93,249.51,13.85,13.78
"Ee",475.88,240.88,46.39,20.17
"Cc",476.75,243.75,18.33,15.41
"Aa",478.6,241.92,27.02,17.99
"Aa",461.35,263.05,11.37,12.16
"Kk",467.05,260.59,56.74,18.91
"Bb",462.08,274.91,18.27,16.8
"Oo",463.8,275.32,38.86,20.41
"Gg",463.87,272.91,14.75,14.63
"Jj",467.93,273.8,14.99,14.33
"Ii",474.31,279.86,27.22,17.96
"Kk",478.54,279.66,35.47,22.32
"Bb",475.25,273.23,24.64,17.41
"Cc",478.29,273.78,29.29,17.44
"Mm",471.11,259.13,25.48,19.38
"Bb",473.03,261.3,11.84,11.65
"Cc",476.98,263.82,13.41,13.17
"Gg",464.94,281.09,12.68,11.6
"Dd",463.6,281.5,10.54,12.06
"Ii",460.47,284.23,28.26,19
"Ff",463.83,283.89,19.77,15.25
"Ee",465.4,285.12,10.25,9.65
"Ii",460.42,286,16.23,13.53
"Pp",463.03,287.16,13.57,12.62
"Aa",463.79,286.36,12.45,12.88
"Ee",465.34,286.24,16.51,13.83
"Aa",466.6,289.36,13.03,12.57
"Nn",467.72,284.61,12.65,12.96
"Bb",467.14,281.8,19.02,15.17
"Ee",460.49,290.67,34.04,19.44
"Ee",460.56,292.27,17.1,14.09
"Cc",459.79,291.67,14.82,14.44
"Bb",460.97,294.23,11.34,11.81
"Aa",463.77,298.08,22.31,15.73
"Dd",465.75,293.3,14.15,14.53
"Gg",472.26,291.31,14.12,14.53
"Ll",476.03,294.36,14.51,12.73
"Jj",479.34,294.85,10.79,10.67
"Ii",469.99,282.51,20.94,15.16
"Ii",471.98,282.47,16.51,16.15
"Jj",473.06,284.19,18.3,14.25
"Kk",471.87,286.11,26.51,17.74
"Oo",480.16,284.72,20.53,18.67
"Ll",478.84,280.56,12.33,12.42
"Dd",460.85,304.86,28.1,18.92
"Ee",460.24,305.05,34.84,19.35
"Cc",462.39,305.59,22.67,16.75
"Kk",462.62,310.52,28.37,19.07
"Ff",461.64,313.6,23.72,17.89
"Ee",461.14,317.24,18.86,15.23
"Ss",469.62,312.06,17.53,16.47
"Ff",471.05,314.77,15.84,14.7
"Cc",474.23,318.9,102.81,25.56
"Ii",470.8,300.5,18.34,15.63
"Ee",470.77,300.6,20.81,16.22
"Jj",469.17,307.79,11.22,11.53
"Ee",471.12,307.89,29.91,20.37
"Hh",473.34,305.24,12.22,12.6
"Ll",476.5,306.22,15.41,15.25
"Aa",479.69,301.78,18.82,16.18
"Ee",462.82,320.87,42.55,21.38
"Jj",463.5,326.34,11.7,12.09
"Jj",465.26,325.14,21.49,17.04
"Hh",466.68,326.09,26.98,18.13
"Cc",465.58,325.3,22.92,16.07
"Bb",467.36,328.69,14.28,13.57
"Hh",461.84,337.43,12.77,13.46
"Ff",461.1,338.87,16.15,13.62
"Oo",466.89,340.82,11.5,11.37
"Dd",469.32,339.27,20.53,16.27
"Jj",474.38,332.31,25.91,18.71
"Ee",479.29,337.77,47.19,21.31
"Ee",467.28,347.38,18.84,16.89
"Cc",468.59,343.95,22.09,17.17
"Ll",460.53,352.54,20.24,15.71
"Ee",460.69,358.77,16.97,13.73
"Ii",464.39,359.69,11.18,11.26
"Ii",466.24,357.74,11.97,13.25
"Cc",472.96,351.42,89.33,21.65
"Cc",470.45,354.36,28.42,20.3
"Jj",470.46,359.8,10.44,11.93
"Bb",476.57,355.87,16.2,14.34
"Ff",479.07,355.96,12.22,12.37
"Dd",470.6,343.26,20.37,16.34
"Dd",469.64,365.94,18.44,14.76
"Bb",466.8,362.2,31.18,17.21
"Ee",461.99,376.6,20.13,15.72
"Kk",466.25,377.86,37.96,18.84
"Ee",467.25,373.22,27.45,17.92
"Hh",471.09,370.7,28.68,20.48
"Gg",472.4,371.27,10.73,11.74
"Ee",472.01,371.34,99.19,24.28
"Bb",471.61,380.02,12.37,11.19
"Jj",477.83,372.59,15.91,14.43
"Cc",475.15,365.06,37.62,19.76
"Gg",478.67,367.67,33.29,17.92
"Gg",476.84,362.6,20.18,16.19
"Cc",460.72,383.78,53.61,20.37
"Ii",459.54,387.72,30.62,18.35
"Gg",469.51,382.36,74.23,20.63
"Ll",467.17,382.48,14.73,13.26
"Dd",462.51,398.19,58.01,21.92
"Jj",466.68,399.79,34.43,19.47
"Dd",465,396.05,12.76,12.14
"Ee",476.97,399.46,16.47,15.05
"Aa",477.36,399.67,54.95,20.88
"Ii",478.61,398.44,23.15,16.3
"Dd",473.35,382.01,11.68,12.17
"Ii",473.14,381.95,24.84,17.18
"Aa",474.74,381.32,24.78,18.55
"Ll",478.54,383.87,12.15,12.2
"Kk",460.89,406.25,21.06,15.52
"Bb",465.68,404.19,29.58,19
"Ii",469.72,401.39,22.92,17.32
"Cc",460.52,418.5,16.86,15.46
"Aa",470.12,413.9,30.43,19.24
"Nn",473.09,418.4,47.38,21.9
"Ee",475.24,418.31,12.38,12.66
"Aa",479.59,418.68,11.55,10.93
"Ee",474.12,403.65,16.6,15.68
"Kk",473.86,406.77,29.5,18.87
"Ee",474.04,406.2,28.31,19.4
"Dd",479.49,406.08,12.61,11.93
"Dd",460.21,425.64,15.37,14.06
"Gg",462.46,432.46,14.3,13.62
"Jj",465.46,438.27,37.93,20.52
"Hh",468.09,433.09,10.96,10.93
"Oo",472.9,433.87,16.94,15.63
"Dd",477.51,438.24,12.31,12.08
"Ll",470,423.06,17.92,15.72
"Nn",464.39,449.6,11.65,12.15
"Gg",469.16,442.5,22.34,16.75
"Cc",464.42,454.46,28.56,17.87
"Ii",465.02,456.28,30.1,20.11
"Bb",465.78,454.7,11.21,12.75
"Jj",475,452.82,16.53,15.42
"Gg",479.01,457.85,32.8,19.81
"Hh",471.19,442.21,10.6,10.89
"Bb",470.3,448.8,16.97,14.28
"Ii",478.16,448.14,23.25,18.22
"Bb",466.11,467.18,47.09,20.7
"Kk",467.36,475.8,15.47,13.5
"Cc",474.68,474.46,14.1,13.79
"Bb",470.91,479.01,28.89,18.75
"Gg",478.05,479.62,19.87,18.79
"Bb",478.15,461.66,46.81,20.15
"Dd",463.98,489.57,17.15,16.87
"Bb",468.91,485.95,16.02,14.43
"Gg",469.23,487.33,28.98,20.57
"Bb",460.58,490.35,27.05,18.93
"Aa",467.54,494.19,14.32,13.25
"Ee",465.41,492.39,39.58,21.48
"Hh",477.45,494.93,15.47,13.47
"Ii",479.47,494.54,13.94,13.32
"Ff",471.48,482.69,11.08,11.08
"Jj",472.61,483.92,14.31,14.07
"Bb",473.78,490.19,11.64,11.97
"Cc",486.78,5.43,18.25,14.75
"Cc",491.04,10.89,18.25,15.08
"Ff",493.49,15.29,14.5,14.48
"Mm",490.74,1.31,15.04,13.9
"Dd",497.96,6.19,12.81,12.47
"Oo",496.7,4.37,13.56,13.16
"Ff",499.83,1.73,12.29,12.45
"Ee",485.17,20.3,12.44,14.46
"Hh",482.01,34.56,12.12,12.68
"Ff",482.95,38.84,41.78,20.66
"Cc",482.93,38.82,10.85,11.44
"Ff",494.01,35.4,33.41,19.06
"Hh",495.23,38.18,21.05,16.22
"Jj",488.05,53.49,16.34,15.29
"Nn",489.38,51.27,11.6,11.62
"Mm",490.82,51.41,22.33,16.73
"Ll",484.81,69.72,27.43,18.09
"Nn",490.21,60.55,31.36,17.62
"Aa",480.45,71.6,16.59,15.09
"Bb",480.67,77.43,18.68,16.12
"Gg",483.78,79.08,17.2,14.3
"Ee",488.53,71.74,10.69,11.35
"Dd",491.06,72.07,21.35,17.42
"Aa",493.43,74.99,28.81,17.93
"Cc",492.91,75.39,11.19,13.11
"Bb",497.37,79.22,13.95,13.44
"Cc",499.01,76.07,51.94,20.99
"Ff",494.52,70.75,21.29,16.75
"Ee",491.49,60.65,10.25,10.4
"Gg",492.08,69.38,22.12,15.67
"Nn",492.12,68.89,12.02,12.88
"Cc",495.18,70.55,43.98,20.7
"Gg",499.29,61.38,21.78,17.26
"Cc",481.69,80.13,11.25,12.67
"Ii",484.95,82.35,18.72,15.3
"Jj",483.37,83.03,21.45,17.48
"Nn",480.48,88.54,18.03,15.11
"Mm",481.1,87.1,14.58,13.6
"Ii",481.77,87.38,17.06,15.5
"Ii",485.39,86.88,11.11,11.32
"Dd",489.35,80.84,19.98,15.46
"Hh",480.15,98.44,22.36,16.84
"Ff",482.12,99.57,12.88,12.15
"Jj",482.73,97.18,16.86,16.95
"Ee",486.52,97.2,29.1,17.71
"Cc",488.39,99.99,16.45,16.26
"Cc",490.7,91.17,12.06,12.52
"Aa",493.32,94.56,20.49,17.01
"Kk",494.94,90.47,19.59,15.34
"Dd",494.28,95.91,14.03,13.77
"Bb",499.97,95.77,19.77,16.02
"Ii",490.77,80.3,17.53,15.34
"Jj",495,89.14,16.08,15.51
"Qq",481.86,107.27,13.09,12.3
"Nn",482.17,109.51,14.34,12.46
"Ff",489.26,106.72,30.89,19
"Ff",485.95,104.22,20.39,15.84
"Jj",488.93,101.29,18.11,14.66
"Bb",480.21,110.48,21.57,17.16
"Ll",483.97,114.48,20.84,16.96
"Bb",479.12,118.63,18.26,13.97
"Mm",486.55,110.84,13.64,12.66
"Aa",493.49,119.09,33.37,18.05
"Gg",495.59,110.94,10.36,11.25
"Nn",490.31,102.19,34.96,21.61
"Hh",493.83,101.72,21.38,17.31
"Dd",495.4,107.44,35.13,19.66
"Aa",499.52,107.24,28.22,18.68
"Ff",495.81,104.94,10.06,11.4
"Bb",482.06,121.07,17.41,14.04
"Aa",483.09,120.59,18.82,15.61
